"Skinny Puppy","Musician","Unknown"
"Front Line Assembly","Musician","Unknown"
"Velvet Acid Christ","Musician","Unknown"
"Electric Hellfire Club, The","Musician","Unknown"
"Xorcist","Musician","Unknown"
"My Life with the Thrill Kill Kult","Musician","Unknown"
"Divine Misfire","Musician","Unknown"
"Wumpscut","Musician","Unknown"
"Meat Beat Manifesto","Musician","Unknown"
"Mortician","Musician","Unknown"
"Ministry","Musician","Unknown"
"Horn, Ernst","Musician","Unknown"
"Pop Will Eat Itself","Musician","Unknown"
"Haujobb","Musician","Unknown"
"White Zombie","Musician","Unknown"
"Negativland","Musician","Unknown"
"Ice Cube","Musician","Unknown"
"Mentallo & The Fixer","Musician","Unknown"
"Leaether Strip","Musician","Unknown"
"Front 242","Musician","Unknown"
"Circle of Dust","Musician","Unknown"
"Orb, The","Musician","Unknown"
"Marilyn Manson","Musician","Unknown"
"Impetigo","Musician","Unknown"
"VNV Nation","Musician","Unknown"
"Cat Rapes Dog","Musician","Unknown"
"Colourbox","Musician","Unknown"
"Noise Unit","Musician","Unknown"
"Doubting Thomas","Musician","Unknown"
"Psychic TV","Musician","Unknown"
"Implant","Musician","Unknown"
"Engorged","Musician","Unknown"
"Big Audio Dynamite","Musician","Unknown"
"KMFDM","Musician","Unknown"
"Kode IV","Musician","Unknown"
"Swamp Terrorists","Musician","Unknown"
"Void Construct","Musician","Unknown"
"Japanese Car Crash","Musician","Unknown"
"Intermix","Musician","Unknown"
"Blood Duster","Musician","Unknown"
"Croc Shop","Musician","Unknown"
"Laibach","Musician","Unknown"
"Killing Floor","Musician","Unknown"
"Public Enemy","Musician","Unknown"
"Vitro","Musician","Unknown"
"Snog","Musician","Unknown"
"Man... or Astro-Man?","Musician","Unknown"
"Hoodlum Priest","Musician","Unknown"
"Therapy?","Musician","Unknown"
"Feindflug","Musician","Unknown"
"Revolting Cocks","Musician","Unknown"
"Crackhead","Musician","Unknown"
"Covenant","Musician","Unknown"
"Emergency Broadcast Network","Musician","Unknown"
"Terror Against Terror","Musician","Unknown"
"din_fiv","Musician","Unknown"
"Watchmen","Musician","Unknown"
"ClockDVA","Musician","Unknown"
"Manufacture","Musician","Unknown"
"Aslan Faction","Musician","Unknown"
"Delerium","Musician","Unknown"
"Orbital","Musician","Unknown"
"Accessory","Musician","Unknown"
"Messiah","Musician","Unknown"
"Darling Kandie","Musician","Unknown"
"Astral Projection","Musician","Unknown"
"Rob Zombie","Musician","Unknown"
"U.N.K.L.E.","Musician","Unknown"
"Millennium of the Phantom Vixens","Musician","Unknown"
"Apoptygma Berzerk","Musician","Unknown"
"Assemblage 23","Musician","Unknown"
"Psychopomps","Musician","Unknown"
"DJ Luna-C","Musician","Unknown"
"Double Dee & Steinski","Musician","Unknown"
"Null Device","Musician","Unknown"
"Arzt+Pfusch","Musician","Unknown"
"OMD","Musician","Unknown"
"Future Sound of London","Musician","Unknown"
"Information Society","Musician","Unknown"
"Out of Band Experience","Musician","Unknown"
"Alien Faktor","Musician","Unknown"
