"Blade Runner","Unknown","Unknown"
"NASA","Space Programmes","Unknown"
"Apocalypse Now","Unknown","Unknown"
"Aliens","Unknown","Unknown"
"Kennedy, John F.","President","Unknown"
"Exorcist III, The","Unknown","Unknown"
"Hellraiser","Unknown","Unknown"
"Evil Dead II","Unknown","Unknown"
"Dune","Unknown","Unknown"
"Videodrome","Unknown","Unknown"
"Bush, George","President","Unknown"
"Robocop","Unknown","Unknown"
"Scarface","Unknown","Unknown"
"THX 1138","Unknown","Unknown"
"King Jr, Martin Luther","Leader","Unknown"
"Malcolm X","Leader","Unknown"
"Matrix, The","Unknown","Unknown"
"2001: A Space Odyssey","Unknown","Unknown"
"Star Trek","TV Series","Unknown"
"Star Wars","Unknown","Unknown"
"Blue Velvet","Unknown","Unknown"
"Manson, Charles","Killer","Unknown"
"Twilight Zone, The","TV Series","Unknown"
"Pryor, Richard","Comedian","Unknown"
"Exorcist, The","Unknown","Unknown"
"Event Horizon","Unknown","Unknown"
"Griswold, Farrell","Preacher","Unknown"
"Hellbound: Hellraiser II","Unknown","Unknown"
"Predator 2","Unknown","Unknown"
"1984","Unknown","Unknown"
"Clockwork Orange, A","Unknown","Unknown"
"Full Metal Jacket","Unknown","Unknown"
"Jacob's Ladder","Unknown","Unknown"
"Star Trek: The Next Generation","TV Series","Unknown"
"Twin Peaks","TV Series","Unknown"
"Abyss, The","Unknown","Unknown"
"2010: Odyssey Two","Unknown","Unknown"
"Shining, The","Unknown","Unknown"
"Reagan, Ronald","President","Unknown"
"Taxi Driver","Unknown","Unknown"
"South Park","TV Series","Unknown"
"Dawn of the Dead","Unknown","Unknown"
"Flatliners","Unknown","Unknown"
"Demon Seed","Unknown","Unknown"
"Dark Star","Unknown","Unknown"
"Warriors, The","Unknown","Unknown"
"Fear and Loathing in Las Vegas","Unknown","Unknown"
"Total Recall","Unknown","Unknown"
"Seven","Unknown","Unknown"
"Highlander","Unknown","Unknown"
"Terminator, The","Unknown","Unknown"
"Prince of Darkness","Unknown","Unknown"
"Hitler, Adolf","Dictator","Unknown"
"Seventh Sign, The","Unknown","Unknown"
"Texas Chainsaw Massacre 2, The","Unknown","Unknown"
"Legend of Hell House, The","Unknown","Unknown"
"Reservoir Dogs","Unknown","Unknown"
"Twelve Monkeys","Unknown","Unknown"
"Jones, Jim","Reverend","Unknown"
"X Files, The","TV Series","Unknown"
"Wattstax","Documentary","Unknown"
"Outer Limits, The","TV Series","Unknown"
"Robocop 2","Unknown","Unknown"
"Prophecy, The","Unknown","Unknown"
"Leary, Timothy","Doctor","Unknown"
"Predator","Unknown","Unknown"
"Last Temptation of Christ, The","Unknown","Unknown"
"Brown, Arthur","Singer","Unknown"
"Prisoner, The","TV Series","Unknown"
"Goodfellas","Unknown","Unknown"
"Pulp Fiction","Unknown","Unknown"
"Hardware","Unknown","Unknown"
"Nixon, Richard M.","President","Unknown"
"Alien 3","Unknown","Unknown"
"Shocker","Unknown","Unknown"
"Night of the Living Dead","Unknown","Unknown"
"Clinton, Bill","President","Unknown"
"Burroughs, William S.","Author","Unknown"
"Silence of the Lambs","Unknown","Unknown"
"Hellraiser: Bloodline","Unknown","Unknown"
"Legend","Unknown","Unknown"
"Return of the Living Dead, The","Unknown","Unknown"
"From Beyond","Unknown","Unknown"
"Alien: Resurrection","Unknown","Unknown"
"Day the Earth Stood Still, The","Unknown","Unknown"
