"040 Hamburg Strikes Back","Alien","Unknown"
"10. 9. 8. 7. 6. 5. 4. 3. 2. 1. [explosion]","Alien","Unknown"
"10, 9, 8, 7, 6, 5, 4, 3, 2, 1.","NASA","Unknown"
"10, 9, 8, 7, 6, 5, 4, 3, 2, 1, zero, we have ignition","NASA","Unknown"
"10-9-ignition sequence start-6-5-4-3-2-1-0. All engines running. Lift off. We have a lift off. 32 minutes past the hour.","NASA","Unknown"
"10, 9","NASA","Unknown"
"10 minutes and counting... 9 minutes and counting... 8 minutes and counting... 7 minutes and counting... 6 minutes and counting... 5 minutes and counting... 4 minutes and counting","Diamonds Are Forever","Unknown"
"11:11. Results: Failed treatments to date: beta blockers, calcium channel blockers, adrenaline injections, high dose ibuprofen, steroids, trigger matastics, violent exercise, caffergot suppositories, caffeine, acupuncture, marijuana, percodan, midodrine, tenormine, sansert, homeopathics... no results.","Pi","Unknown"
"1138 retract. [BING noise]. 1138 retract, someone's touching TTL integrated logic module. Switching to manual.","THX 1138","Unknown"
"1138 What's wrong?","THX 1138","Unknown"
"1138 You're getting Talbot contact","THX 1138","Unknown"
"...11...","NASA","Unknown"
"12,000 RPMs!","Akira","Unknown"
"12, 11, 10, 9, ignition sequence start, 6, 5, 4, 3, 2...","NASA","Unknown"
"12, 11, 10, 9, ignition sequence starts, 6, 5, 4, 3, 2, 1, 0, all engines running ... liftoff.","NASA","Unknown"
"12-11-10-9-ignition sequency current","NASA","Unknown"
"1, 2, 3, 4, 5, 6, 7, 8, 9...","Fahrenheit 451","Unknown"
"12:45. Restate my assumptions. 1: Mathematics is the language of nature. 2: Everything around us can be represented and understood through numbers. 3: If you graph the numbers of any system, patterns emerge. Therefore, there are patterns everywhere in nature.","Pi","Unknown"
"12...","NASA","Unknown"
"12","NASA","Unknown"
"132 and Bush, I've got him at gunpoint.","Cops","Unknown"
"132 and Bush, I've got him at gunpoint","Cops","Unknown"
"13 acres of hell","Last House on the Left","Unknown"
"15 seconds, guidance is internal, 12, 11, 10, 9, ignition sequence start, 6, 5, 4, 3, 2, 1, zero, all engine running, Lift off, we have a lift off, 32 minutes past the hour. tower clear.","NASA","Unknown"
"15 seconds, guidance is internal","NASA","Unknown"
"1642","THX 1138","Unknown"
"17 hours a day","Pirkle, Estus","Unknown"
"19","Vietnam Requiem","Unknown"
"1. Mathematics is the language of nature. 2. Everything around us can be represented and understood through numbers. 3. If you graph the numbers of any system, patterns emerge. Therefore: There are patterns everywhere in nature.","Pi","Unknown"
"1 minute 25 seconds and counting...","NASA","Unknown"
"1 minute 25 seconds","NASA","Unknown"
"1","THX 1138","Unknown"
"#1: Use monetary and sex bribery to obtain control of men already in high places in the various levels of all governments and other fields of endeavors. Once influential persons have fallen for the lies deceits and temptations for the illuminati, they were to be held in bondage by application of political and other forms of blackmail. Threats for financial ruin, public exposure and threats of physical harm, even death to themselves and other loved ones in their family. Do you realize how many top officials in our federal govt in Washington are controlled in just that way by the CFR? Do you realize how many homosexuals in our state department, the Pentagon, all federal agencies, even in The Whitehouse are controlled that way?","Fagan, Myron C.","Unknown"
"20,000 hardcore members","Warriors, The","Unknown"
"2001: Odyssee im Weltraum","2001: A Space Odyssey","Unknown"
"200 years","Twilight Zone, The","Unknown"
"20 seconds and counting","NASA","Unknown"
"20 seconds to count","NASA","Unknown"
"...2, 1, Zero. All engines...","NASA","Unknown"
"227 Lears, and I can't remember the first line.","Dresser, The","Unknown"
"22 million black victims of Americanism are waking up.","Malcolm X","Unknown"
"25:17. The path of the righteous man is beset on all sides by the inequities of the selfish and the tyranny of evil men. Blessed is he who in the name of charity and goodwill shepherds the weak through the valley of darkness, for he is TRULY his brother's keeper and the finder of lost children. And I will strike down upon thee with GREAT vengeance and FURIOUS anger, those who attempt to poison, and destroy my brothers! And you will KNOW my name is the Lord, when I lay my vengeance upon thee!","Pulp Fiction","Unknown"
"25:17. The path of the righteous man is beset on all sides by the inequities of the selfish and the tyranny of evil men. Blessed is he who in the name of charity and goodwill shepherds the weak through the valley of darkness, for he is TRULY his brother's keeper and the finder of lost children. And I will strike down upon thee with GREAT vengeance and FU-U-U-URIOUS anger, those who attempt to poison, and destroy my brothers! And you will KNOW my name is the Lord, when I lay my vengeance upon thee!","Pulp Fiction","Unknown"
"27 000 feet per second [beep].","NASA","Unknown"
"'28 days, 6 hours, 42 minutes, & 12 seconds... that is when the world will end.' 'Why?'","Donnie Darko","Unknown"
"28 seconds","Alien: Resurrection","Unknown"
"29 Jahre ist es her, daß das Bewährungssystem so wie sie es kennen... für überholt erklärt wurde.","Demolition Man","Unknown"
"#2: Illuminati and the faculties of colleges and universities were to cultivate students possessing exceptional mental ability belonging to well bred families with international means and reccomend them for special training in internationalism. Such training was to be provided by granting scholorships to those selected by the illuminists. All such scholors were first be pursuaded and then convinced that men with special talents and brains have the right to rule those less gifted on the grounds that the masses don't know what's best for them physically, mentally and spiritually.","Fagan, Myron C.","Unknown"
"2","THX 1138","Unknown"
"2 Twisted Mix by Mickey Finn & Bay-B-Kane","Stephen King's It","Unknown"
"30 seconds and counting, the astronauts report it feels good","NASA","Unknown"
"[30 seconds of gunshots]","Heat","Unknown"
"31 seconds","NASA","Unknown"
"3, 2, 1, zero.","NASA","Unknown"
"3, 2, 1, zero","NASA","Unknown"
"3, 4, better lock your door... 5, 6, grab your crucifix... 7, 8, better stay out late... 9, 10, he's back again","Nightmare on Elm Street 4, A","Unknown"
"3, 4, better lock your door... 5, 6, grab your crucifix... 7, 8, better stay out late...","Nightmare on Elm Street 4, A","Unknown"
"35 seconds and counting, we are still go with Apollo 11","NASA","Unknown"
"363 feet of gleaming white equipment being pushed up through the blue skies of Florida.","NASA","Unknown"
"...3...","NASA","Unknown"
"4 000 feet.","NASA","Unknown"
"40 seconds. Lights on. 3 ft down... 2 and a half...Picking up some dust... Faint shadow...4 forward...drifting to the right a little...1 and a half... 30 seconds","NASA","Unknown"
"4, 3, 2, 1, ignition","NASA","Unknown"
"...4951","THX 1138","Unknown"
"...4...","NASA","Unknown"
"#4: To obtain absolute control over the press at that time the only mass communications media to distribute information to the public. So that all news and information could be slanted so that the masses could be convinced that a one world government is the only solution to our many and varied problems.","Fagan, Myron C.","Unknown"
"505 345 675 Delta 9, read you as Captain 505 899. On the Y-axis confirm a reading of Gamma 5.5786. Cabin control to station 3, you are clear on vector 7 niner point nine five. We anticipate scanning approaching <???>. Give us a shift of 197 and take it down to 443. Negative...","Westworld","Unknown"
"505 345 675 Delta 9","Westworld","Unknown"
"5...4...3...2...1... I am now authorised to use physical force [sound of gun]","Robocop","Unknown"
"5,4,3,2,1 - Thunderbirds are go.","Thunderbirds","Unknown"
"5 4 3 2 1 zero, ignition","NASA","Unknown"
"...5...","NASA","Unknown"
"'6116 are you tracking me?' 'Uh...negative'","Under Siege","Unknown"
"6-5-4-3-2-1","NASA","Unknown"
"...6...","NASA","Unknown"
"6","THX 1138","Unknown"
"'700 Ingsoc cadets, 4,600 Ingsoc sea cadets, 12,300 Forties piloted missiles, 31,000 Victory fighter bombers, 23,000 Big Brother heavey bombers...' 'It has happened at last. The call has come...' 'It has been announced...' 'It seems, all my life, I have been waiting for it...'","1984","Unknown"
"8.45am in New York: smoke billows from the World Trade Center after a large passenger plane slammed into the north tower. Initial reports suggested it was an accident. 9:03: another airliner hits the Trade Center south tower, an explosion bursting from the building's upper floors.","World Trade Center Attack","Unknown"
"88 Seconds in Greensboro","Frontline","Unknown"
"...9...","NASA","Unknown"
"Aaaaaa-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-taaaaa!","Fist Of The North Star","Unknown"
"Aaaaayyyyhhhhhhhhh","Star Wars","Unknown"
"AAAAHhahahahahaha, ha!","Stephen King's It","Unknown"
"Aah! Put the gun down!","Reservoir Dogs","Unknown"
"Aah, wir haben alles unter Kontrolle. Situation normal.","Star Wars","Unknown"
"Abandon all hope here.","Testament of Orpheus","Unknown"
"Abandon all hope, ye who enter here","Hawking, Stephen","Unknown"
"A, B & C","Prisoner, The","Unknown"
"Aber unser Blut ist noch so rot, daß wir tanzen müssen","Kinski, Klaus","Unknown"
"Aber unser Blut ist noch so rot, daß wir tanzen müssen, wenn es wild durch die Adern schwillt und, nie gestillt, uns im Traum noch quält bis auf den Tod.","Kinski, Klaus","Unknown"
"Abgebaut, Schritt für Schritt und zurück mit dem <???>","Kohl, Helmut","Unknown"
"A blast of cold air and I heard Olson scream. Turned to see, and the Thing struck at me. Afterwards, I remember my head, I must have fallen. They were both hanging from the beam, upside down. Their throats were cut.","Thing From Another World, The","Unknown"
"Abre los ojos","Vanilla Sky","Unknown"
"A Brief History of Time","Hawking, Stephen","Unknown"
"A bunch of mead","Hated","Unknown"
"<???>...a case of premature ejection!","Top Gun","Unknown"
"Acceleration 2, so long as we maintain passenger comfort.","Westworld","Unknown"
"According to a Veteran's Administration study, half of the Vietnam combat veterans suffer from what psychiatrists call post-traumatic stress disorder. Many vets complain of alienation, rage or guilt. Some succumb to suicidal thoughts. Eight to ten years after coming home, almost 800,000 men are still fighting the Vietnam War.","Vietnam Requiem","Unknown"
"A census taker once tried to test me, I ate his liver with some fava beans and a nice Chianti.","Silence of the Lambs","Unknown"
"A Change of Mind","Prisoner, The","Unknown"
"A child","Demon Seed","Unknown"
"Achtung Gefahr!","Dark Star","Unknown"
"Achtung","Kinder, Kader, Kommandeure","Unknown"
"Acknowledged","Star Trek","Unknown"
"Acknowledge.","Star Trek","Unknown"
"Acquiring data, eighteen-thirty eight","2010: Odyssey Two","Unknown"
"A crucifix submerged in the artist's urine","United States Senate","Unknown"
"acting guild","Billy Jack","Unknown"
"Action that springs from absolute necessity, unclouded by the restraints of conscience... mercy... pity...","From the Hip","Unknown"
"Activating Pemex Memory Doubler","Johnny Mnemonic","Unknown"
"Actors are human beings and they should be involved in what lifes about and I think we are all interested in what happens to our world.","Monroe, Marilyn","Unknown"
"Adagita vau-pa-ahe...","Crowley, Aleister","Unknown"
"Adagita vau-pa-ahe zodonugonu fa-a-ipe salada! Vi-i-vau el! Sobame ial-pereji i-zoda-zodazod pi-adapehe casarema aberameji ta ta-labo paracaleda qo-ta lores-el-qo turebesa ooge balatohe! Giui cahisa lusada orei od micalapse cahisa bia ozodonugonu! Iape noanu tarofe coresa tage o-quo maninu IA-I-DON. Torezodu! gohe-el, zodacare eca ca-no-quoda! zodameranu micalazodo od ozodazodame vaurelar; lape zodir IOIAD!","Crowley, Aleister","Unknown"
"A decapitated head can continue to see for approximately twenty seconds. So when I have one that's gawking<???>, I always hold it up so that it'll see its body. It's a little extra I throw in for no added charge. I must admit it makes me chuckle every time.","Exorcist III, The","Unknown"
"'<???> a difficult situation.' 'Mmm-hmm.' 'And as far as I'm concerned there were people who were here who tried to help in their own way. If people didn't dig it, I'm sorry.'","Gimme Shelter","Unknown"
"A dimension not only of sight and sound, but of mind","Twilight Zone, The","Unknown"
"A dimension of pure chaos","Event Horizon","Unknown"
"A dimension of pure chaos.... pure evil","Event Horizon","Unknown"
"Adios, Johnny Bravo.","Brady Bunch, The","Unknown"
"A direct link with the presence of more than six millions immigrants!","Le Pen, Jean-Marie","Unknown"
"'Aerobraking in 50 seconds...' '[Helen Mirren speaking russian]'","2010: Odyssey Two","Unknown"
"Affirmative","Lost In Space","Unknown"
"A Fistful of Dynamite.","Giu la testa","Unknown"
