"Blade Runner", "Unclassified"
"NASA", "Space Programmes"
"Apocalypse Now", "Unclassified"
"Aliens", "Unclassified"
"Kennedy, John F.", "President"
"Exorcist III, The", "Unclassified"
"Hellraiser", "Unclassified"
"Evil Dead II", "Unclassified"
"Dune", "Unclassified"
"Videodrome", "Unclassified"
"Bush, George", "President"
"Robocop", "Unclassified"
"Scarface", "Unclassified"
"THX 1138", "Unclassified"
"King Jr, Martin Luther", "Leader"
"Malcolm X", "Leader"
"Matrix, The", "Unclassified"
"2001: A Space Odyssey", "Unclassified"
"Star Trek", "TV Series"
"Star Wars", "Unclassified"
"Blue Velvet", "Unclassified"
"Manson, Charles", "Killer"
"Twilight Zone, The", "TV Series"
"Pryor, Richard", "Comedian"
"Exorcist, The", "Unclassified"
"Event Horizon", "Unclassified"
"Griswold, Farrell", "Preacher"
"Hellbound: Hellraiser II", "Unclassified"
"Predator 2", "Unclassified"
"1984", "Unclassified"
"Clockwork Orange, A", "Unclassified"
"Full Metal Jacket", "Unclassified"
"Jacob's Ladder", "Unclassified"
"Star Trek: The Next Generation", "TV Series"
"Twin Peaks", "TV Series"
"Abyss, The", "Unclassified"
"2010: Odyssey Two", "Unclassified"
"Shining, The", "Unclassified"
"Reagan, Ronald", "President"
"Taxi Driver", "Unclassified"
"South Park", "TV Series"
"Dawn of the Dead", "Unclassified"
"Flatliners", "Unclassified"
"Demon Seed", "Unclassified"
"Dark Star", "Unclassified"
"Warriors, The", "Unclassified"
"Fear and Loathing in Las Vegas", "Unclassified"
"Total Recall", "Unclassified"
"Seven", "Unclassified"
"Highlander", "Unclassified"
"Terminator, The", "Unclassified"
"Prince of Darkness", "Unclassified"
"Hitler, Adolf", "Dictator"
"Seventh Sign, The", "Unclassified"
"Texas Chainsaw Massacre 2, The", "Unclassified"
"Legend of Hell House, The", "Unclassified"
"Reservoir Dogs", "Unclassified"
"Twelve Monkeys", "Unclassified"
"Jones, Jim", "Reverend"
"X Files, The", "TV Series"
"Wattstax", "Documentary"
"Outer Limits, The", "TV Series"
"Robocop 2", "Unclassified"
"Prophecy, The", "Unclassified"
"Leary, Timothy", "Doctor"
"Predator", "Unclassified"
"Last Temptation of Christ, The", "Unclassified"
"Brown, Arthur", "Singer"
"Prisoner, The", "TV Series"
"Goodfellas", "Unclassified"
"Pulp Fiction", "Unclassified"
"Hardware", "Unclassified"
"Nixon, Richard M.", "President"
"Alien 3", "Unclassified"
"Shocker", "Unclassified"
"Night of the Living Dead", "Unclassified"
"Clinton, Bill", "President"
"Burroughs, William S.", "Author"
"Silence of the Lambs", "Unclassified"
"Hellraiser: Bloodline", "Unclassified"
"Legend", "Unclassified"
"Return of the Living Dead, The", "Unclassified"
"From Beyond", "Unclassified"
"Alien: Resurrection", "Unclassified"
"Day the Earth Stood Still, The", "Unclassified"
"Rosemary's Baby", "Unclassified"
"In the Mouth of Madness", "Unclassified"
"Network", "Unclassified"
"Barbarella", "Unclassified"
"Devils, The", "Unclassified"
"Fifth Element, The", "Unclassified"
"Name of the Rose, The", "Unclassified"
"No Escape", "Unclassified"
"Altered States", "Unclassified"
"Dark City", "Unclassified"
"Manson", "Documentary"
"Flash Gordon", "Unclassified"
"Kohl, Helmut", "Bundeskanzler"
"One Flew Over The Cuckoo's Nest", "Unclassified"
"Day of the Dead", "Unclassified"
"La Guardia, Fiorello Henry", "Mayor"
"Akira", "Unclassified"
"Faster Pussycat! Kill! Kill!", "Unclassified"
"Sisters of Satan", "Unclassified"
"Universal Soldier", "Unclassified"
"Cube", "Unclassified"
"Brain Dead", "Unclassified"
"Farrakhan, Louis", "Minister"
"LSD:25", "Documentary"
"Henry: Portrait of a Serial Killer", "Unclassified"
"Devil's Advocate", "Unclassified"
"Murphy, Eddie", "Comedian"
"Cape Fear", "Unclassified"
"Evil Dead, The", "Unclassified"
"Platoon", "Unclassified"
"Willy Wonka and the Chocolate Factory", "Unclassified"
"Thing, The", "Unclassified"
"Untouchables, The", "Unclassified"
"Dirty Harry", "Unclassified"
"Pi", "Unclassified"
"Bram Stoker's Dracula", "Unclassified"
"Bush, George W.", "President"
"Alien", "Unclassified"
"Crow, The", "Unclassified"
"Simpsons, The", "TV Series"
"Body Parts", "Unclassified"
"Lifeforce", "Unclassified"
"Mars Needs Women", "Unclassified"
"Freejack", "Unclassified"
"Battlestar Galactica", "Unclassified"
"Wild Angels, The", "Unclassified"
"Mommie Dearest", "Unclassified"
"Interview with the Vampire", "Unclassified"
"Dr. Strangelove", "Unclassified"
"River's Edge", "Unclassified"
"Deliverance", "Unclassified"
"Terminator 2: Judgment Day", "Unclassified"
"They Live", "Unclassified"
"Falling Down", "Unclassified"
"Candyman", "Unclassified"
"Westworld", "Unclassified"
"Looney Tunes & Merrie Melodies", "Cartoons"
"Planet of the Apes", "Unclassified"
"American Psycho", "Unclassified"
"Hellraiser III: Hell on Earth", "Unclassified"
"Contact", "Unclassified"
"Escape from New York", "Unclassified"
"Aeon Flux", "TV Series"
"Conan the Barbarian", "Unclassified"
"True Romance", "Unclassified"
"Punisher, The", "Unclassified"
"War of the Worlds, The", "Unclassified"
"Mad Max Beyond Thunderdome", "Unclassified"
"Few Good Men, A", "Unclassified"
"I'll Cry Tomorrow", "Unclassified"
"Soylent Green", "Unclassified"
"Lord Of Illusions", "Unclassified"
"Rivera, Geraldo", "TV Host"
"Head", "The Monkees Movie"
"Phantasm II", "Unclassified"
"Hitcher, The", "Unclassified"
"Split Second", "Unclassified"
"Life of Brian", "Unclassified"
"Casablanca", "Unclassified"
"Batman", "TV Series"
"Atomic Cafe, The", "Unclassified"
"Innocents, The", "Unclassified"
"Kasem, Casey", "Radio DJ"
"Doctor Who", "TV Show"
"Fly, The", "Unclassified"
"Marat/Sade", "Unclassified"
"Mark of the Devil", "Unclassified"
"Kalifornia", "Unclassified"
"Pitch Black", "Unclassified"
"Wizard of Gore, The", "Unclassified"
"Maniac", "Unclassified"
"Nightmare on Elm Street 4, A", "Unclassified"
"Unholy, The", "Unclassified"
"Making Money", "Infomercial"
"Naked Lunch", "Unclassified"
"Charlie's Family", "Unclassified"
"Independence Day", "Unclassified"
"Performance", "Unclassified"
"Star Trek: First Contact", "Unclassified"
"Ruling Class, The", "Unclassified"
"Eraserhead", "Unclassified"
"Haunting, The", "Unclassified"
"Phantasm", "Unclassified"
"Basic Instinct", "Unclassified"
"Natural Born Killers", "Unclassified"
"Nightbreed", "Unclassified"
"Forbidden Planet", "Unclassified"
"Island of Doctor Moreau, The", "Unclassified"
"Monty Python and The Holy Grail", "Unclassified"
"Shadow of a Doubt", "Unclassified"
"Johnny Mnemonic", "Unclassified"
"Indiana Jones and the Temple of Doom", "Unclassified"
"Transformers, The", "Unclassified"
"Armageddon", "Unclassified"
"Occult Experience, The", "Unclassified"
"Jackson, Jesse", "Candidate"
"Scream", "Unclassified"
"Car Wash", "Unclassified"
"Star Trek VI: The Undiscovered Country", "Unclassified"
"Andromeda Strain, The", "Unclassified"
"MTV", "TV Channel"
"Shogun Assassin", "Unclassified"
"Addiction, The", "Unclassified"
"Army of Darkness", "Unclassified"
"Cops", "TV Series"
"From Dusk Till Dawn", "Unclassified"
"Lawnmower Man, The", "Unclassified"
